day,meditate 10,shadow ,task speaking,writing practice,writing task,communicate,2 lessen SQL,walking,running,yoga,workout,extra 1,extra 5,extra 2,extra 3,extra 4,extra 6,extra 7,,,,
11 bahman,1,1,1,youtube for introduction paragraph 13:28,,,2,50 min,,,,R workout,call alireza,R denial,Bank's card,J requierments,digikala,,,,,
12 bahman,1,1,1,,,,finish,30 min,,F / yuga,,z amozesh,,novel,type practice,R anxiety,,,,,,
13 bahman,1,1,1,"although ,eventhough",,,1 + 1,,,,20,book change,z amozesh,R anxiety,bath,ashkar,plants water,,,,,
14 bahman,1,1,1,"in addition,Furthermore moreover another",,,git,,,,,dr alireza,type practice,nail polish,novel,z amozesh,R skin care,,,,,
15 bahman,1,1,1,"therefore,thus,so",,,git,,,,F,nadaf birthday,R relationship,b change,R anxiety,golnaz,plants water,,,,,
16 bahman,,,,,,,,,,,20,,,novel,,,,,,,,
17 bahman,,,,,,,git,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
day,meditation 10 min,shadow 30 min,task speaking,writing practice,writing task,communicate,,walking,running,F / yuga,workout,make bed/wash up /dressed,rakotan,extra 2,extra 3,extra 4,extra 6,extra 7,extra 1,,,
18 bahman,,,,template ,,,git ,,,,,,,R anxiety, R lose weight,novel,irrigation,type practice,,,,
19 bahman,,,,template ,,,obj oriented,,,,15 + cool down,,,R arm rash,R relation,b change,,type practice,,,,
20 bahman,,,,,,,clean code / git,,,get flexible,,,,R anxiety,R dastayofski,novel,,type practice,,,,
21 bahman,,,,read sample,,,SQL principles,,,,15+cool down,,,Write letter to past,R relation,b change,irrigation,type practice,,,,
22 bahman,,,,,,,clean code /git,,,get flexible,,,,R anxiety,,novel,,type practice,,,,
23 bahman,,,,,,,algoritms,,,,,,,,R relation,b change,clean leafs,,,,,
24 bahman,,,,,,,,,,,15 + cool down,,,R anxiety,,driving,irrigation,clean room ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
day,meditation,shadow,task speaking,writing pactice,writing task 1,morning rutine,work,walking,running,F/yuga,workout,type practice,rakotan,exra 1 ,extra 2,extra 3,extra 4,extra 5,extra 6,,,
25 bahman,,,,,,, ,,,,,,,novel,, R anxiety,R T,,,,,
26 bahman,,,,,,,clean code/git,,,,15 + cool down,,,b change,shaya,R anxiety,R body language,,,,,
27 bahman,,,,,,,algorithems,,,,,,,other,irrigation, R anxiety,R body language,kar am,,,,
28 bahman,,,,,,,clean code/git,,,,,,,novel,, R anxiety,R,,,,,
29 bahman,,,,,,,SQL/oop,,,,15 + cool down,,,,shaya, R anxiety,,,,,,
30 bahaman,,,,,,,clean code/git,,,,,,,b change,irrigation, R anxiety,R,,,,,
1 esfand,,,,,,,,,,,,,,,, R anxiety,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
day,meditation,morning rutine,shadow,task speaking,writing task 1,practice,machine learning,work,run/walk,F/yuga,workout,Type practice,rakotan,extra 1,extra 2,extra 3,extra 4,extra 5,extra 6,,,
2 esfand,,,,,,,,data anl,,,,,,irrigation,R body language, R anxiety,novel,bath rutine,clean desk,,,
3 esfand,,,,,,,,data anl,,,,,,see hanieh,R body language,R anxiety,change,,,,,
4 esfand,,,,,,,,data anl,,,,, ,,R body language, R anxiety,letter to father,,,,,
5 esfand,,,,,,,,data anl,,,,,,irrigation,R body language, R anxiety,novel,,,,,
6 esfand ,,,,,,,,data anl,,,,,,niusha birthday,R body language, R anxiety,change,,,,,
7 esfand,,,,,,,,,,,,,,roz vakil,R body language, R anxiety,dore data,clean room,,,,
8 esfand,,,,,,,,clean code/git,,,,,,irrigation,,,,,,,,
,essence,dress,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
day,meditation,morning rutine,shadow,task speaking,task writing,practice,machine learning,data,run /walk,F/ yoga,work out,type practice,rakotan/multi,extra 1,extra 2,extra 3,extra 4,extra 5,extra 6,,,
9 esfand,,,,,,,,,,,,,,call alireza,R anxiety,R,novel,faroght,twitter,,,
10 esfand,,,,,,the,,,,,,,,ashkar,R anxiety,R,change,,,,,
11 esfand,,,,,,,,,,,,,,irrigation,R anxiety,R,talekabin,abedi,twitter,,,
12 esfand,,,,,,,,,,,,,,,R anxiety,R,novel,,,,,
13 esfand,,,,,,,,,,,,,,golnaz birthday,R anxiety,R,change,,twitter,,,
14 esfand,,,,,,,,,,,,,,irrigation,R anxiety,telekabin,,,,,,
15 esfand,,,,,,,,,,,,,,khak kardan goldon,,,,,twitter,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,meditation,morining rutine,shadow,task speaking,memrise,task writing,practice,machine learning,data,run/walk,Yoga/F,workout,rakotan,type practice,anxity,cleaning,extra 1,extra 2,extra 3,extra 4,extra 5,piterson ya toiserkani
16 esfand,,,,,,,,,dore,,,,,,,wash my shoes,seferesh door?,khak kardan goldona,bed drawer,hajme net,book,
17 esfand,,,,,,,,,kooch,,,,,,,khoon,irrigation,kadoo noorak/digi,pasge aseman,vaght dr poost,choose photo alireza,
18 esfand,,,,,,,,,,,,,,,,desk,lebas online,niusha,fareghot,,change,
19 esfand,,,,,,,,,,,,,,,,mirror,dr post(leyzer),clear photo,,,book,
20 esfand,,,,,,,,kooch,,,,,,,,mirror/desk,z layzer,CV,noorak,,change,
21 esfand,,,,,,,,,,,,,,,,,bam ,irrigation,,,,
22 esfand,,,,,,,,,,,,,,,,remove dust,,,,,,